fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,11248066,259.926182001466,62,4091,29049.259683234,13184,2,60959,12780436,244770,9913,11780799,408535,1074.90167,63343.8606911749,204632,364857,228212,446876,36892,245571,471871,74143,33219.6993379409,6692993,80,56.61,15.85,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0217,ELURU,10289334,250.164253558729,41,3261,4867.191880658,7802,3,37789,10083305,3386769,205445,1139542,53475,803.17373,30895.190297958,241605,389926,318268,589029,8410,373323,671928,45591,25224.8246873,5888784,49,41.65,47.41,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0218,NTR,6594264,258.460785775866,45,2347,2377.125741752,10949,2,20916,6592768,2530831,122102,523913,23291,472.74294,19889.5886589318,143810,239370,174181,319336,6522,209668,375935,31865,17039.7199771798,3855817,36,67.41,19.6,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0226,KAKINADA,5172632,248.187763570424,37,3170,3009.492579374,8475,0,26596,5624398,1605557,93833,147326,8579,633.32217,17601.8823598737,151526,212817,206984,350908,3012,287710,469080,35071,13959.0676104997,2788110,51,50.58,33.49,99.99,NA
2024-2025,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13773357,230.504517259195,45,7244,3787.085379421,4687,2,38117,13624423,1505070,74706,372468,18062,1092.07082,36284.0666649218,301343,448364,351026,642477,3821,386660,692105,42804,31404.9104655008,9305586,48,4.53,91.57,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0209,NELLORE,5135978,254.085499376954,29,1676,3691.942848758,4444,5,48043,5096741,1429959,135914,248419,28281,948.375,17590.397670558,173415,248585,267899,464181,562,348905,586097,52487,12950.0798218,3223658,39,38.29,52.08,99.91,NA
2024-2025,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,7487785,263.076022201297,41,3605,5322.146378822,5077,1,40781,7393622,1325742,94533,295952,17371,1098.7337,25871.726733022,179777,304431,253940,474826,3630,313222,577611,45858,19450.8466542,4126447,50,33.78,58.23,99.87,NA
2024-2025,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,15686755,253.585086114011,48,6465,4221.292474848,11276,2,36471,15667484,1405272,61044,1066576,39918,1177.52551,45129.2207781469,322169,464046,381983,672284,7637,434790,742238,47747,39730.4027932989,11017713,44,16.45,78.8,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13773357,230.479180024981,45,7241,3747.705269421,4652,2,37911,13610817,1503691,74713,371848,18071,946.57232,36064.3770057217,301228,448122,351006,642497,3310,386581,692037,42563,31370.0994163007,9297382,48,4.48,91.72,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,11120421,207.662478495846,39,3969,4834.637407798,3584,4,40727,10953930,2604480,200816,339076,21794,1147.4808,28729.320738498,274959,467275,381078,724587,2616,444868,818379,44311,22747.2025307,6238753,32,9.88,86.72,99.89,NA
